Entity,Year,Life expectancy,process_date
Russia,1861,29.573458000000002,2025-07-24
Russia,1862,29.573458000000002,2025-07-24
Russia,1863,29.573458000000002,2025-07-24
Russia,1864,29.573458000000002,2025-07-24
Russia,1865,29.573458000000002,2025-07-24
Russia,1866,29.573458000000002,2025-07-24
Russia,1867,29.573458000000002,2025-07-24
Russia,1868,27.851233,2025-07-24
Russia,1869,27.934912,2025-07-24
Russia,1870,31.120827000000002,2025-07-24
Russia,1871,28.103025,2025-07-24
Russia,1872,25.916432999999998,2025-07-24
Russia,1873,29.484869,2025-07-24
Russia,1874,30.474103999999997,2025-07-24
Russia,1875,31.120827000000002,2025-07-24
Russia,1876,30.934659999999997,2025-07-24
Russia,1877,31.308113,2025-07-24
Russia,1878,27.767805,2025-07-24
Russia,1879,30.841995,2025-07-24
Russia,1880,30.201067,2025-07-24
Russia,1881,32.164947999999995,2025-07-24
Russia,1882,26.705706,2025-07-24
Russia,1883,29.045896999999997,2025-07-24
Russia,1884,32.749157000000004,2025-07-24
Russia,1885,30.841995,2025-07-24
Russia,1886,34.256531,2025-07-24
Russia,1887,33.244099,2025-07-24
Russia,1888,33.144515999999996,2025-07-24
Russia,1889,31.027603000000003,2025-07-24
Russia,1890,29.930477000000003,2025-07-24
Russia,1891,26.387152,2025-07-24
Russia,1892,21.261060999999998,2025-07-24
Russia,1893,27.601696,2025-07-24
Russia,1894,28.103025,2025-07-24
Russia,1895,26.947142,2025-07-24
Russia,1896,28.27215,2025-07-24
Russia,1897,30.474103999999997,2025-07-24
Russia,1898,27.934912,2025-07-24
Russia,1899,31.591158,2025-07-24
Russia,1900,30.749607,2025-07-24
Russia,1901,29.045896999999997,2025-07-24
Russia,1902,29.84082,2025-07-24
Russia,1903,31.781273,2025-07-24
Russia,1904,32.164947999999995,2025-07-24
Russia,1905,30.474103999999997,2025-07-24
Russia,1906,31.972534000000003,2025-07-24
Russia,1907,33.645432,2025-07-24
Russia,1908,33.645432,2025-07-24
Russia,1909,32.358517,2025-07-24
Russia,1910,31.402178000000003,2025-07-24
Russia,1911,35.088634000000006,2025-07-24
Russia,1912,35.512234,2025-07-24
Russia,1913,33.343979,2025-07-24
Russia,1914,33.0,2025-07-24
Russia,1915,31.5,2025-07-24
Russia,1916,31.5,2025-07-24
Russia,1917,29.0,2025-07-24
Russia,1918,23.0,2025-07-24
Russia,1919,25.0,2025-07-24
Russia,1920,20.5,2025-07-24
Russia,1921,23.799999,2025-07-24
Russia,1922,24.700001,2025-07-24
Russia,1923,33.599998,2025-07-24
Russia,1924,36.099998,2025-07-24
Russia,1925,35.200001,2025-07-24
Russia,1926,38.400002,2025-07-24
Russia,1927,37.5,2025-07-24
Russia,1928,38.900002,2025-07-24
Russia,1929,37.400002,2025-07-24
Russia,1930,36.5,2025-07-24
Russia,1931,35.0,2025-07-24
Russia,1932,32.799999,2025-07-24
Russia,1933,17.35,2025-07-24
Russia,1934,38.200001,2025-07-24
Russia,1935,39.599998,2025-07-24
Russia,1936,41.099998,2025-07-24
Russia,1937,39.900002,2025-07-24
Russia,1938,41.400002,2025-07-24
Russia,1939,43.599998,2025-07-24
Russia,1940,41.200001,2025-07-24
Russia,1941,23.0,2025-07-24
Russia,1942,18.0,2025-07-24
Russia,1943,16.0,2025-07-24
Russia,1944,27.0,2025-07-24
Russia,1945,34.0,2025-07-24
Russia,1946,46.099998,2025-07-24
Russia,1947,40.400002,2025-07-24
Russia,1948,52.200001,2025-07-24
Russia,1949,55.0,2025-07-24
Russia,1950,57.299999,2025-07-24
Russia,1951,57.799999,2025-07-24
Russia,1952,58.200001,2025-07-24
Russia,1953,59.0,2025-07-24
Russia,1954,61.0,2025-07-24
Russia,1955,63.400002,2025-07-24
Russia,1956,64.900002,2025-07-24
Russia,1957,64.0,2025-07-24
Russia,1958,66.900002,2025-07-24
